# Ta at 1 bar, Liquid
# Atomic Number: 73
# Atomic Mass: 180.94788
# Source: nist.gov
# Unit Conversion Factors: 1 J/mol*K = 0.1203 kB/atom   |   1 kJ/mol = 1/10.3644 meV/atom
# Temperature (K)	Entropy (kB/atom)	Enthalpy (meV/atom)	Entropy (J/mol*K)	Enthalpy(kJ/mol)
3258.0			14.7334			1029.5866		122.5			99.34
3300.0			14.7935			1047.8277		123.0			101.1
3400.0			14.9499			1091.3577		124.3			105.3
3500.0			15.0942			1134.8876		125.5			109.5
3600.0			15.2385			1177.3811		126.7			113.6
3700.0			15.3708			1220.9111		127.8			117.8
3800.0			15.5031			1264.4410		128.9			122.0
3900.0			15.6354			1307.9709		130.0			126.2
4000.0			15.7677			1351.5009		131.1			130.4
4100.0			15.8880			1395.0308		132.1			134.6
4200.0			16.0083			1437.5243		133.1			138.7
4300.0			16.1285			1481.0543		134.1			142.9
4400.0			16.2488			1524.5842		135.1			147.1
4500.0			16.3570			1568.1141		136.0			151.3
4600.0			16.4653			1611.6441		136.9			155.5
4700.0			16.5735			1655.1740		137.8			159.7
4800.0			16.6818			1698.7039		138.7			163.9
4900.0			16.7900			1741.1974		139.6			168.0
5000.0			16.8862			1784.7274		140.4			172.2
5100.0			16.9825			1828.2573		141.2			176.4
5200.0			17.0787			1871.7873		142.0			180.6
5300.0			17.1749			1915.3172		142.8			184.8
5400.0			17.2711			1958.8471		143.6			189.0
5500.0			17.3673			2001.3406		144.4			193.1
5600.0			17.4515			2044.8706		145.1			197.3
5700.0			17.5477			2088.4005		145.9			201.5
