# Ti at 1 bar, Solid
# Atomic Number: 22
# Atomic Mass: 47.867
# Source: nist.gov
# «beta» phase; Data last reviewed in June, 1979
# Unit Conversion Factors: 1 J/mol*K = 0.1203 kB/atom   |   1 kJ/mol = 1/10.3644 meV/atom
# Temperature (K)	Entropy (kB/atom)	Enthalpy (meV/atom)	Entropy (J/mol*K)	Enthalpy(kJ/mol)
298.0			4.5824			-0.0000			38.1			-0.0
300.0			4.6016			0.4146			38.26			0.04
400.0			5.4435			25.7034			45.26			2.48
500.0			6.1146			51.6141			50.84			4.98
600.0			6.6751			78.1466			55.5			7.54
700.0			7.1586			105.1973		59.52			10.15
800.0			7.5868			132.7663		63.08			12.81
900.0			7.9717			160.9571		66.28			15.53
1000.0			8.3240			189.7698		69.21			18.31
1100.0			8.6488			219.2043		71.91			21.15
1200.0			8.9543			249.3643		74.45			24.06
1300.0			9.2417			280.3535		76.84			27.05
1400.0			9.5159			312.1718		79.12			30.12
1500.0			9.7781			345.0266		81.3			33.29
1600.0			10.0319			378.9177		83.41			36.56
1700.0			10.2785			413.9490		85.46			39.94
1800.0			10.5202			450.3276		87.47			43.45
1900.0			10.7572			488.1571		89.44			47.1
