# Fe at 1 bar, Solid
# Atomic Number: 26
# Atomic Mass: 55.845
# Source: nist.gov
# «alpha»-«delta» phase; Data last reviewed in March, 1978
# Unit Conversion Factors: 1 J/mol*K = 0.1203 kB/atom   |   1 kJ/mol = 1/10.3644 meV/atom
# Temperature (K)	Entropy (kB/atom)	Enthalpy (meV/atom)	Entropy (J/mol*K)	Enthalpy(kJ/mol)
298.0			3.2846			-0.0000			27.31			-0.0
300.0			3.3051			0.5182			27.48			0.05
400.0			4.2119			27.6726			35.02			2.67
500.0			4.9769			57.3144			41.38			5.53
600.0			5.6528			89.2364			47.0			8.61
700.0			6.2698			123.7494		52.13			11.94
700.0			6.3432			125.2004		52.74			12.08
800.0			6.8567			158.4697		57.01			15.29
900.0			7.4533			202.1033		61.97			19.5
1000.0			8.0210			248.7425		66.69			24.0
1042.0			8.2868			275.6896		68.9			26.6
1100.0			8.7089			314.4520		72.41			30.34
1100.0			8.6668			310.6172		72.06			29.97
1200.0			9.1190			355.3908		75.82			34.29
1300.0			9.5003			396.4333		78.99			38.25
1400.0			9.8431			436.2321		81.84			42.09
1500.0			10.1654			476.5492		84.52			45.98
1600.0			10.4745			517.7990		87.09			49.96
1700.0			10.7728			560.1888		89.57			54.05
1800.0			11.0614			603.8224		91.97			58.26
